,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,New Norfolk,75,AU,1574540959,53,-42.78,147.06,11.1,2.6
1,Cape Town,2,ZA,1574540928,82,-33.93,18.42,16.31,3.6
2,Poum,20,MK,1574540962,86,41.28,20.71,4.0,1.0
3,Salalah,0,OM,1574540963,29,17.01,54.1,26.0,7.2
4,Cherskiy,79,RU,1574540964,96,68.75,161.3,-32.21,2.64
5,Port Blair,0,IN,1574540965,69,11.67,92.75,27.65,4.45
6,Torbay,90,CA,1574540967,100,47.66,-52.73,5.31,4.1
7,Ushuaia,99,AR,1574540943,24,-54.81,-68.31,20.0,15.4
8,Khatanga,93,RU,1574540969,100,71.98,102.47,-28.44,1.0
9,Arraial do Cabo,70,BR,1574540970,69,-22.97,-42.02,27.65,8.2
10,Bredasdorp,0,ZA,1574540971,68,-34.53,20.04,17.35,3.6
11,Busselton,74,AU,1574540973,62,-33.64,115.35,9.82,3.83
12,Myre,100,SE,1574540974,100,62.25,17.37,3.45,3.6
13,Bluff,35,AU,1574540975,78,-23.58,149.07,22.15,3.79
14,Rikitea,43,PF,1574540976,67,-23.12,-134.97,22.26,5.04
15,San Patricio,41,PY,1574540977,57,-26.98,-56.83,27.87,4.88
16,Ponta Delgada,20,PT,1574540702,82,37.73,-25.67,20.0,6.7
17,Esperance,13,AU,1574540980,93,-33.86,121.89,12.0,1.62
18,Pontal do Parana,75,BR,1574540983,93,-25.67,-48.51,22.07,5.1
19,Castro,75,CL,1574540985,72,-42.48,-73.76,15.0,7.2
20,Kapaa,90,US,1574540910,94,22.08,-159.32,23.78,8.2
21,Chokurdakh,96,RU,1574540988,98,70.62,147.9,-30.86,4.07
22,Chama,100,ZM,1574540989,68,-11.22,33.16,25.4,1.37
23,Buala,100,SB,1574540991,77,-8.15,159.59,26.64,2.05
24,Mataura,5,NZ,1574540992,69,-46.19,168.86,15.56,8.49
25,Kachug,99,RU,1574540993,91,53.96,105.89,-16.75,1.98
26,Shelburne,1,CA,1574540994,55,44.08,-80.2,3.63,4.1
27,Kangaatsiaq,100,GL,1574540995,70,68.31,-53.46,1.37,8.91
28,Punta Arenas,100,CL,1574540997,62,-53.16,-70.91,12.88,7.7
29,Kemin,100,KG,1574540998,95,42.79,75.7,-4.5,0.15
30,Saint Anthony,1,US,1574540999,60,43.97,-111.68,4.54,4.1
31,Carnarvon,0,ZA,1574541000,24,-30.97,22.13,16.65,7.95
32,Tokur,100,RU,1574541001,98,53.13,132.9,-23.37,2.48
33,Cunha,40,BR,1574541003,58,-23.08,-44.96,28.54,2.6
34,Constitucion,5,MX,1574541004,9,23.99,-104.67,24.16,1.5
35,Talcahuano,90,CL,1574541005,82,-36.72,-73.12,16.0,6.7
36,Zatoka,0,PL,1574541006,100,50.04,20.52,1.59,3.6
37,Port Elizabeth,1,US,1574541008,41,39.31,-74.98,6.49,2.6
38,Yar-Sale,87,RU,1574541009,94,66.83,70.83,-23.08,2.87
39,Vila Franca do Campo,20,PT,1574541010,82,37.72,-25.43,20.0,6.7
40,Butaritari,8,KI,1574541011,67,3.07,172.79,28.8,3.25
41,Alofi,100,NU,1574541014,88,-19.06,-169.92,26.0,7.2
42,Avarua,100,CK,1574541015,94,-21.21,-159.78,25.0,3.6
43,Manjeshwar,16,IN,1574541017,72,12.72,74.89,23.47,3.42
44,Georgetown,40,GY,1574540970,83,6.8,-58.16,29.0,5.1
45,Nishihara,90,JP,1574541020,100,35.74,139.53,14.17,3.1
46,Fortuna,20,US,1574541021,62,40.6,-124.16,13.1,2.1
47,Albany,75,US,1574540840,42,42.65,-73.75,4.2,2.6
48,Longyearbyen,75,NO,1574541024,78,78.22,15.63,-8.0,3.6
49,Dikson,91,RU,1574541025,99,73.51,80.55,-20.27,1.95
50,Atuona,18,PF,1574541026,75,-9.8,-139.03,26.58,6.88
51,Kisangani,100,CD,1574541028,97,0.52,25.21,20.28,1.13
52,Marystown,70,CA,1574541029,2,47.17,-55.16,5.0,1.79
53,Bara,0,NG,1574541030,29,10.41,10.6,24.84,0.2
54,Beringovskiy,0,RU,1574541031,83,63.05,179.32,-13.66,6.95
55,Kavaratti,0,IN,1574541034,74,10.57,72.64,28.39,2.13
56,Tasiilaq,20,GL,1574541035,73,65.61,-37.64,-6.0,0.63
57,Alice Springs,0,AU,1574541036,19,-23.7,133.88,15.0,6.8
58,Ahipara,0,NZ,1574541037,86,-35.17,173.16,16.24,7.76
59,Evensk,100,RU,1574541038,95,61.92,159.24,-14.87,2.48
60,De-Kastri,0,RU,1574541040,49,51.48,140.77,-6.73,6.14
61,Hithadhoo,39,MV,1574541041,79,-0.6,73.08,27.88,4.84
62,Hilo,90,US,1574540914,78,19.71,-155.08,22.18,2.1
63,Patos de Minas,93,BR,1574541043,100,-18.6,-46.51,21.11,2.17
64,Lompoc,1,US,1574541044,32,34.64,-120.46,21.48,1.5
65,Mount Gambier,90,AU,1574541046,87,-37.83,140.78,9.0,1.5
66,Vaini,5,IN,1574541047,69,15.34,74.49,17.94,3.33
67,Tingo Maria,20,PE,1574541048,66,-9.29,-76.01,26.48,1.5
68,Trairi,41,BR,1574541049,70,-3.28,-39.27,26.63,2.54
69,Yellowknife,90,CA,1574541010,100,62.45,-114.38,-5.0,5.1
70,Kutum,40,SD,1574541053,21,14.2,24.66,19.36,3.47
71,Palmer,20,AU,1574541054,81,-34.85,139.16,11.6,2.1
